versionId = 0, producerId = 4, streamId = 4, data = tHsbZRj
versionId = 0, producerId = 3, streamId = 3, data = VjaRzLNTX
versionId = 0, producerId = 3, streamId = 4, data = wTndU
versionId = 0, producerId = 3, streamId = 1, data = HiQecb
versionId = 0, producerId = 3, streamId = 0, data = zvqzlPW
versionId = 0, producerId = 3, streamId = 2, data = qOsUb
versionId = 0, producerId = 3, streamId = 3, data = nAIPRYxdk
versionId = 0, producerId = 3, streamId = 4, data = CBcgR
versionId = 0, producerId = 3, streamId = 1, data = drSfOWLQ
versionId = 0, producerId = 3, streamId = 0, data = CNPANWvk
versionId = 0, producerId = 3, streamId = 2, data = OdejVcu
versionId = 0, producerId = 3, streamId = 3, data = MVTnMU
versionId = 0, producerId = 3, streamId = 4, data = BcVFoh
versionId = 0, producerId = 3, streamId = 1, data = tUTuW
versionId = 0, producerId = 3, streamId = 0, data = RGiQj
versionId = 0, producerId = 3, streamId = 2, data = TcVwHjKV
versionId = 0, producerId = 3, streamId = 3, data = PoVVTYNXf
versionId = 0, producerId = 3, streamId = 4, data = jPcDeM
versionId = 0, producerId = 3, streamId = 1, data = xVduz
versionId = 0, producerId = 3, streamId = 0, data = hinMk
versionId = 0, producerId = 3, streamId = 2, data = uotVuZJ
versionId = 0, producerId = 3, streamId = 3, data = uZkJwQs
versionId = 0, producerId = 3, streamId = 4, data = zoVWaY
versionId = 0, producerId = 3, streamId = 1, data = dKZpE
versionId = 0, producerId = 3, streamId = 0, data = rSOKAaKzK
versionId = 0, producerId = 3, streamId = 2, data = WlfVcjYMc
versionId = 0, producerId = 3, streamId = 3, data = VxDrns
versionId = 0, producerId = 3, streamId = 4, data = UrCFsVySz
versionId = 0, producerId = 3, streamId = 1, data = tbpwvkb
versionId = 0, producerId = 3, streamId = 0, data = KvUdUyR
versionId = 0, producerId = 3, streamId = 2, data = gDknQX
versionId = 0, producerId = 3, streamId = 3, data = AJnkxLkNK
versionId = 0, producerId = 3, streamId = 4, data = UEqSfz
versionId = 0, producerId = 3, streamId = 0, data = IMKcSi
versionId = 0, producerId = 3, streamId = 2, data = tqDUZ
versionId = 0, producerId = 2, streamId = 4, data = BkQLttTaa
versionId = 0, producerId = 2, streamId = 0, data = RKRus
versionId = 0, producerId = 2, streamId = 1, data = aozFZ
versionId = 0, producerId = 2, streamId = 2, data = iFQGZsnwT
versionId = 0, producerId = 2, streamId = 3, data = GYeUC
versionId = 0, producerId = 2, streamId = 4, data = hSWZd
versionId = 0, producerId = 2, streamId = 0, data = pyWsR
versionId = 0, producerId = 2, streamId = 1, data = kctWdcUo
versionId = 0, producerId = 2, streamId = 2, data = npMVHZ
versionId = 0, producerId = 2, streamId = 3, data = iyeoUq
versionId = 0, producerId = 2, streamId = 4, data = MJGHOx
versionId = 0, producerId = 2, streamId = 0, data = TsbfqA
versionId = 0, producerId = 2, streamId = 1, data = tXjkVIt
versionId = 0, producerId = 2, streamId = 2, data = BhgIva
versionId = 0, producerId = 2, streamId = 3, data = cSbblmmHE
versionId = 0, producerId = 2, streamId = 4, data = nwcNj
versionId = 0, producerId = 2, streamId = 0, data = pkSlxk
versionId = 0, producerId = 2, streamId = 1, data = UvYxTocDo
versionId = 0, producerId = 2, streamId = 2, data = iUUJeV
versionId = 0, producerId = 2, streamId = 3, data = kGzAA
versionId = 0, producerId = 2, streamId = 4, data = tLhTUZ
versionId = 0, producerId = 2, streamId = 0, data = JOxKmRN
versionId = 0, producerId = 2, streamId = 1, data = KDOUnXzm
versionId = 0, producerId = 2, streamId = 2, data = ikdJPu
versionId = 0, producerId = 2, streamId = 3, data = QLaxAHz
versionId = 0, producerId = 2, streamId = 4, data = SnsZR
versionId = 0, producerId = 2, streamId = 0, data = GNADb
versionId = 0, producerId = 2, streamId = 1, data = bYsIIwc
versionId = 0, producerId = 2, streamId = 2, data = GFxUvaL
versionId = 0, producerId = 2, streamId = 3, data = aPVQqUQnz
versionId = 0, producerId = 2, streamId = 4, data = SfBigfpkm
versionId = 0, producerId = 2, streamId = 0, data = DQoLjk
versionId = 0, producerId = 2, streamId = 1, data = jFLLBLbu
versionId = 0, producerId = 2, streamId = 3, data = IPkPzXDPi
versionId = 0, producerId = 2, streamId = 4, data = hpgJs
versionId = 0, producerId = 2, streamId = 1, data = qjyZdU
versionId = 0, producerId = 4, streamId = 0, data = EmfzdCoy
versionId = 0, producerId = 4, streamId = 1, data = rccsV
versionId = 0, producerId = 4, streamId = 2, data = mVLOpbUO
versionId = 0, producerId = 4, streamId = 3, data = dKupdOM
versionId = 0, producerId = 4, streamId = 4, data = KsXbG
versionId = 0, producerId = 4, streamId = 0, data = pPbwgADLZ
versionId = 0, producerId = 4, streamId = 1, data = Ufouezp
versionId = 0, producerId = 4, streamId = 2, data = WUMgb
versionId = 0, producerId = 4, streamId = 3, data = hVnuuXp
versionId = 0, producerId = 4, streamId = 4, data = xrBhnUwhv
versionId = 0, producerId = 4, streamId = 0, data = HGPTNAVl
versionId = 0, producerId = 4, streamId = 1, data = krfsduY
versionId = 0, producerId = 4, streamId = 2, data = zJkUtl
versionId = 0, producerId = 4, streamId = 3, data = KeFsyZJCD
versionId = 0, producerId = 4, streamId = 4, data = QLrRSlXbl
versionId = 0, producerId = 4, streamId = 0, data = qjyOtwy
versionId = 0, producerId = 4, streamId = 1, data = uUJgGBvt
versionId = 0, producerId = 4, streamId = 2, data = fwoyjUE
versionId = 0, producerId = 4, streamId = 3, data = ggONwLwFp
versionId = 0, producerId = 4, streamId = 4, data = NAkHOoV
versionId = 0, producerId = 4, streamId = 0, data = bntbla
versionId = 0, producerId = 4, streamId = 1, data = lxLdEmYJu
versionId = 0, producerId = 4, streamId = 2, data = bgcndwqeN
versionId = 0, producerId = 4, streamId = 3, data = dHvEZpLb
versionId = 0, producerId = 4, streamId = 4, data = MrJlxqtlM
versionId = 0, producerId = 4, streamId = 0, data = crqKjJDG
versionId = 0, producerId = 4, streamId = 1, data = gFKiMP
versionId = 0, producerId = 4, streamId = 2, data = nstkIHZbT
versionId = 0, producerId = 4, streamId = 3, data = zMAKV
versionId = 0, producerId = 4, streamId = 4, data = JEhSxqssB
versionId = 0, producerId = 4, streamId = 0, data = MCzIx
versionId = 0, producerId = 4, streamId = 1, data = jvGFSI
versionId = 0, producerId = 4, streamId = 3, data = SLsQSBac
versionId = 0, producerId = 4, streamId = 4, data = fNaDt
versionId = 0, producerId = 4, streamId = 0, data = woPImjYS
versionId = 0, producerId = 4, streamId = 3, data = zaZbnG
versionId = 0, producerId = 4, streamId = 4, data = AzAfMxM
versionId = 0, producerId = 4, streamId = 0, data = WTNFmO
versionId = 0, producerId = 4, streamId = 3, data = bMKLj
versionId = 0, producerId = 0, streamId = 4, data = HqgBpn
versionId = 0, producerId = 0, streamId = 2, data = jUMmp
versionId = 0, producerId = 0, streamId = 3, data = HCSjM
versionId = 0, producerId = 0, streamId = 2, data = NrUNQV
versionId = 0, producerId = 0, streamId = 4, data = rELosxx
versionId = 0, producerId = 0, streamId = 3, data = JiQgi
versionId = 0, producerId = 3, streamId = 0, data = SJeKov
versionId = 0, producerId = 3, streamId = 2, data = dQSnyN
versionId = 0, producerId = 3, streamId = 0, data = NNKniNV
versionId = 0, producerId = 4, streamId = 3, data = UyKmTM
versionId = 1, producerId = 0, streamId = 0, data = kkEYeqk
versionId = 1, producerId = 1, streamId = 3, data = KKLdTkN
versionId = 1, producerId = 4, streamId = 0, data = bTrjgbyU
versionId = 1, producerId = 1, streamId = 3, data = lRHoNXvpa
versionId = 1, producerId = 1, streamId = 1, data = oSsqcnC
versionId = 1, producerId = 1, streamId = 0, data = uGZamCToZ
versionId = 1, producerId = 4, streamId = 4, data = HqNFss
versionId = 1, producerId = 1, streamId = 4, data = PynaEp
versionId = 1, producerId = 1, streamId = 3, data = dtZtcOfF
versionId = 1, producerId = 1, streamId = 1, data = PqKXSL
versionId = 1, producerId = 4, streamId = 2, data = EVqSjLXUv
versionId = 1, producerId = 1, streamId = 0, data = fZAPaJzld
versionId = 1, producerId = 4, streamId = 1, data = funWslQx
versionId = 1, producerId = 1, streamId = 4, data = UEdhITGHv
versionId = 1, producerId = 1, streamId = 2, data = rQPqWARP
versionId = 1, producerId = 1, streamId = 3, data = PtPVG
versionId = 1, producerId = 1, streamId = 1, data = pdGERwVhG
versionId = 1, producerId = 4, streamId = 3, data = hTbACsOCF
versionId = 1, producerId = 1, streamId = 0, data = MdfLitTqw
versionId = 1, producerId = 1, streamId = 4, data = UecgOczXT
versionId = 1, producerId = 1, streamId = 2, data = RMGxqPexO
versionId = 1, producerId = 4, streamId = 0, data = alCyTa
versionId = 1, producerId = 1, streamId = 3, data = AbUdQr
versionId = 1, producerId = 1, streamId = 1, data = PjyQyQFSt
versionId = 1, producerId = 4, streamId = 4, data = lIQMnFct
versionId = 1, producerId = 1, streamId = 0, data = ubVVdHtAk
versionId = 1, producerId = 4, streamId = 2, data = JmlnjUZx
versionId = 1, producerId = 3, streamId = 1, data = vjTsn
versionId = 1, producerId = 3, streamId = 3, data = oLEziJiWm
versionId = 1, producerId = 4, streamId = 1, data = qoTukdFKL
versionId = 1, producerId = 3, streamId = 4, data = PKvATdjZy
versionId = 1, producerId = 3, streamId = 1, data = vvmsI
versionId = 1, producerId = 2, streamId = 2, data = hZFxQuvAp
versionId = 1, producerId = 4, streamId = 3, data = VYAfs
versionId = 1, producerId = 2, streamId = 0, data = BqaYF
versionId = 1, producerId = 4, streamId = 0, data = RdpoJ
versionId = 1, producerId = 2, streamId = 2, data = IIWpUYaq
versionId = 1, producerId = 4, streamId = 4, data = VJYTRIXPx
versionId = 1, producerId = 2, streamId = 3, data = hqHzoCIk
versionId = 1, producerId = 2, streamId = 4, data = KQbHj
versionId = 1, producerId = 4, streamId = 2, data = OBEkfI
versionId = 1, producerId = 2, streamId = 0, data = wqPZdS
versionId = 1, producerId = 2, streamId = 1, data = RMmFeY
versionId = 1, producerId = 2, streamId = 2, data = rkuEqC
versionId = 1, producerId = 2, streamId = 3, data = PDMNeuiKT
versionId = 1, producerId = 2, streamId = 4, data = RINKSzj
versionId = 1, producerId = 4, streamId = 3, data = sDVsJDA
versionId = 1, producerId = 2, streamId = 0, data = IvxBRDR
versionId = 1, producerId = 2, streamId = 1, data = mciVEWlUw
versionId = 1, producerId = 2, streamId = 2, data = HdPiHZu
versionId = 1, producerId = 4, streamId = 0, data = hXnxPd
versionId = 1, producerId = 2, streamId = 3, data = iUFXrgXb
versionId = 1, producerId = 0, streamId = 3, data = DMmgcqun
versionId = 1, producerId = 2, streamId = 4, data = MbjeBv
versionId = 1, producerId = 2, streamId = 0, data = wcJXy
versionId = 1, producerId = 2, streamId = 1, data = LoetEAK
versionId = 1, producerId = 2, streamId = 2, data = tWXUD
versionId = 1, producerId = 2, streamId = 3, data = JDUtrnryh
versionId = 1, producerId = 2, streamId = 4, data = SlaOSSU
versionId = 1, producerId = 2, streamId = 0, data = sZsmHKa
versionId = 1, producerId = 2, streamId = 1, data = geqzCZeW
versionId = 1, producerId = 2, streamId = 2, data = RrDuC
versionId = 1, producerId = 2, streamId = 3, data = PtQAqM
versionId = 1, producerId = 2, streamId = 4, data = yVfpvpkH
versionId = 1, producerId = 2, streamId = 0, data = gWhxbhMS
versionId = 1, producerId = 2, streamId = 1, data = cmaAvAS
versionId = 1, producerId = 2, streamId = 3, data = MOfzVWicM
versionId = 1, producerId = 2, streamId = 4, data = nOkZl
versionId = 1, producerId = 2, streamId = 0, data = NSsCraKQ
versionId = 1, producerId = 2, streamId = 1, data = rSfkMA
versionId = 1, producerId = 2, streamId = 3, data = vADvezKy
versionId = 1, producerId = 2, streamId = 0, data = bdMAyhEc
versionId = 1, producerId = 2, streamId = 3, data = Amrfx
versionId = 1, producerId = 2, streamId = 0, data = DnnMAWeJS
versionId = 1, producerId = 2, streamId = 3, data = eizRbU
versionId = 1, producerId = 2, streamId = 3, data = WjtpZ
versionId = 1, producerId = 1, streamId = 4, data = jEQxCqk
versionId = 1, producerId = 1, streamId = 2, data = IfTGX
versionId = 1, producerId = 1, streamId = 3, data = Jtuncb
versionId = 1, producerId = 1, streamId = 1, data = QUsXTOdPO
versionId = 1, producerId = 1, streamId = 0, data = vAUkAw
versionId = 1, producerId = 1, streamId = 4, data = hYVpIyJa
versionId = 1, producerId = 1, streamId = 2, data = BWtOfGtD
versionId = 1, producerId = 1, streamId = 1, data = mKiAJ
versionId = 1, producerId = 1, streamId = 0, data = MlZgAzF
versionId = 1, producerId = 1, streamId = 4, data = bwZID
versionId = 1, producerId = 1, streamId = 2, data = EiOGZCHZM
versionId = 1, producerId = 1, streamId = 1, data = tfIudpvN
versionId = 1, producerId = 1, streamId = 0, data = Mpptmr
versionId = 1, producerId = 1, streamId = 2, data = OeZddIQV
versionId = 1, producerId = 1, streamId = 1, data = eMgoeHHr
versionId = 1, producerId = 1, streamId = 0, data = iHQjgG
versionId = 1, producerId = 1, streamId = 2, data = gFPNXVKpy
versionId = 1, producerId = 1, streamId = 1, data = xIsmSb
versionId = 1, producerId = 1, streamId = 2, data = BPWvvYn
versionId = 1, producerId = 1, streamId = 1, data = GQcqN
versionId = 1, producerId = 4, streamId = 2, data = YIkNB
versionId = 1, producerId = 4, streamId = 1, data = EFsbVh
versionId = 1, producerId = 4, streamId = 2, data = mOjITd
versionId = 1, producerId = 4, streamId = 1, data = hMDwHhxHa
versionId = 1, producerId = 4, streamId = 2, data = LHsHxYgi
versionId = 1, producerId = 4, streamId = 4, data = dKYZgucf
versionId = 1, producerId = 4, streamId = 0, data = xzyTTO
versionId = 1, producerId = 0, streamId = 1, data = PbgHMLUI
versionId = 1, producerId = 0, streamId = 0, data = jxzuaiIsN
versionId = 1, producerId = 0, streamId = 1, data = oByopaJ
versionId = 1, producerId = 0, streamId = 0, data = icVcDakCU
versionId = 1, producerId = 0, streamId = 2, data = svvgX
versionId = 1, producerId = 0, streamId = 4, data = IiBTGeu
versionId = 1, producerId = 0, streamId = 1, data = SdgzeP
versionId = 1, producerId = 0, streamId = 3, data = CwHpDYJr
versionId = 1, producerId = 0, streamId = 0, data = iOdonGi
versionId = 1, producerId = 0, streamId = 2, data = EVeErJ
versionId = 1, producerId = 0, streamId = 4, data = LxwEQg
versionId = 1, producerId = 0, streamId = 1, data = XTWLvbLV
versionId = 1, producerId = 0, streamId = 3, data = tvCHVUnv
versionId = 1, producerId = 0, streamId = 0, data = FSKKV
versionId = 1, producerId = 0, streamId = 2, data = FuwDHfeVn
versionId = 1, producerId = 0, streamId = 4, data = uuoBJ
versionId = 1, producerId = 0, streamId = 1, data = bJILbqZu
versionId = 1, producerId = 0, streamId = 3, data = zgvmi
versionId = 1, producerId = 0, streamId = 0, data = EGgDvlIl
versionId = 1, producerId = 0, streamId = 2, data = BAHAhug
versionId = 1, producerId = 0, streamId = 4, data = QxiFgCyvg
versionId = 1, producerId = 0, streamId = 1, data = aZaefIzHg
versionId = 1, producerId = 0, streamId = 3, data = baIuLRU
versionId = 1, producerId = 0, streamId = 0, data = ZAgfAWP
versionId = 1, producerId = 0, streamId = 2, data = LiMltzEi
versionId = 1, producerId = 0, streamId = 4, data = SSecBes
versionId = 1, producerId = 0, streamId = 1, data = NCODDCfHc
versionId = 1, producerId = 0, streamId = 3, data = rbzvCPLFd
versionId = 1, producerId = 3, streamId = 3, data = DphsT
versionId = 1, producerId = 0, streamId = 0, data = azyJyiDED
versionId = 1, producerId = 3, streamId = 4, data = oUDnHZ
versionId = 1, producerId = 0, streamId = 2, data = vvfyYFT
versionId = 1, producerId = 3, streamId = 1, data = pBmcHAIJm
versionId = 1, producerId = 0, streamId = 4, data = fevQv
versionId = 1, producerId = 0, streamId = 1, data = mQRskAsg
versionId = 1, producerId = 3, streamId = 0, data = HkJaQfP
versionId = 1, producerId = 0, streamId = 3, data = FigNIu
versionId = 1, producerId = 3, streamId = 3, data = HysfGl
versionId = 1, producerId = 0, streamId = 0, data = WCeOa
versionId = 1, producerId = 3, streamId = 4, data = XDpKXjDH
versionId = 1, producerId = 0, streamId = 2, data = vensEyE
versionId = 1, producerId = 0, streamId = 4, data = KIpDw
versionId = 1, producerId = 0, streamId = 1, data = vmNURLDBI
versionId = 1, producerId = 0, streamId = 3, data = dClcPf
versionId = 1, producerId = 0, streamId = 0, data = rZiTRmU
versionId = 1, producerId = 0, streamId = 2, data = zbKRPU
versionId = 1, producerId = 3, streamId = 0, data = gBkthpuzX
versionId = 1, producerId = 0, streamId = 4, data = qmBCf
versionId = 1, producerId = 0, streamId = 3, data = gsQnx
versionId = 1, producerId = 0, streamId = 4, data = KcHcY
versionId = 1, producerId = 0, streamId = 3, data = KqLtg
versionId = 1, producerId = 3, streamId = 3, data = TvmwZL
versionId = 1, producerId = 3, streamId = 4, data = KtziYpT
versionId = 1, producerId = 3, streamId = 0, data = DmsFBVyZ
versionId = 1, producerId = 3, streamId = 1, data = zlFPh
versionId = 1, producerId = 3, streamId = 2, data = xydBVJcup
versionId = 1, producerId = 3, streamId = 3, data = nxqEAjGP
versionId = 1, producerId = 3, streamId = 4, data = GpsqSkY
versionId = 1, producerId = 3, streamId = 1, data = XqrKeTD
versionId = 1, producerId = 3, streamId = 2, data = wKPRYQ
versionId = 1, producerId = 3, streamId = 0, data = eHuePv
versionId = 1, producerId = 3, streamId = 3, data = RheHOWi
versionId = 1, producerId = 3, streamId = 4, data = Cmstp
versionId = 1, producerId = 3, streamId = 1, data = oemJCGRp
versionId = 1, producerId = 3, streamId = 2, data = ZjibJGPo
versionId = 1, producerId = 3, streamId = 0, data = AJKhEqMj
versionId = 1, producerId = 3, streamId = 3, data = LKBED
versionId = 1, producerId = 3, streamId = 4, data = QmiGHoD
versionId = 1, producerId = 3, streamId = 1, data = tNVhk
versionId = 1, producerId = 3, streamId = 2, data = TdEUdDVU
versionId = 1, producerId = 3, streamId = 0, data = XMFsFFH
versionId = 1, producerId = 3, streamId = 3, data = eCSQW
versionId = 1, producerId = 3, streamId = 4, data = kKtvXBfVF
versionId = 1, producerId = 3, streamId = 1, data = QcsXaoK
versionId = 1, producerId = 3, streamId = 2, data = EPKgnt
versionId = 1, producerId = 3, streamId = 0, data = kqJZVOwpa
versionId = 1, producerId = 3, streamId = 3, data = perGpincS
versionId = 1, producerId = 3, streamId = 4, data = TxJXLJW
versionId = 1, producerId = 3, streamId = 1, data = GtOjUZBps
versionId = 1, producerId = 3, streamId = 2, data = JlldEi
versionId = 1, producerId = 3, streamId = 0, data = SdiTjamH
versionId = 1, producerId = 3, streamId = 3, data = svHugGag
versionId = 1, producerId = 3, streamId = 4, data = EePbo
versionId = 1, producerId = 3, streamId = 1, data = JnSxZ
versionId = 1, producerId = 3, streamId = 2, data = XEkELRoP
versionId = 1, producerId = 3, streamId = 0, data = xYWcmDg
versionId = 1, producerId = 4, streamId = 1, data = DtpXyLo
versionId = 1, producerId = 4, streamId = 2, data = uCvRqTNS
versionId = 1, producerId = 4, streamId = 4, data = UDkmuFI
versionId = 1, producerId = 4, streamId = 0, data = qBMsZvEF
versionId = 1, producerId = 4, streamId = 2, data = zRYEeV
versionId = 1, producerId = 4, streamId = 1, data = KFnHLyoxr
versionId = 1, producerId = 4, streamId = 1, data = LDOQnH
versionId = 1, producerId = 4, streamId = 1, data = IdkajxwK
versionId = 1, producerId = 4, streamId = 1, data = FIkZrU
versionId = 1, producerId = 4, streamId = 1, data = YwsUwKObb
versionId = 1, producerId = 4, streamId = 3, data = orfAdaqTC
versionId = 1, producerId = 4, streamId = 4, data = aNxkEarz
versionId = 1, producerId = 4, streamId = 2, data = uoIBIfW
versionId = 1, producerId = 4, streamId = 3, data = wCbOBVk
versionId = 1, producerId = 4, streamId = 0, data = qskoIQatj
versionId = 1, producerId = 4, streamId = 3, data = tcdKMP
versionId = 1, producerId = 4, streamId = 3, data = XXCZHBP
versionId = 1, producerId = 4, streamId = 3, data = TjTtoCEon
versionId = 1, producerId = 4, streamId = 3, data = vouGER
versionId = 1, producerId = 4, streamId = 3, data = lcpItP
versionId = 2, producerId = 2, streamId = 2, data = DtXBDGnMC
versionId = 2, producerId = 2, streamId = 2, data = tKMupnC
versionId = 2, producerId = 4, streamId = 4, data = kzbKz
versionId = 2, producerId = 2, streamId = 4, data = xCWrwlU
versionId = 2, producerId = 2, streamId = 1, data = CTauBGl
versionId = 2, producerId = 4, streamId = 0, data = XIJFrQQfv
versionId = 2, producerId = 2, streamId = 2, data = nxyyO
versionId = 2, producerId = 2, streamId = 4, data = gzWgL
versionId = 2, producerId = 4, streamId = 2, data = WpSUCDJV
versionId = 2, producerId = 2, streamId = 1, data = BjGdAe
versionId = 2, producerId = 2, streamId = 2, data = xmvLHq
versionId = 2, producerId = 4, streamId = 3, data = Cewgjz
versionId = 2, producerId = 2, streamId = 4, data = sPXmQum
versionId = 2, producerId = 2, streamId = 0, data = oPOnnQV
versionId = 2, producerId = 4, streamId = 4, data = fHaCTp
versionId = 2, producerId = 2, streamId = 1, data = sqKke
versionId = 2, producerId = 2, streamId = 2, data = fUlxsWA
versionId = 2, producerId = 4, streamId = 0, data = IysXRsiW
versionId = 2, producerId = 2, streamId = 4, data = WZKvdE
versionId = 2, producerId = 2, streamId = 0, data = NNUPkaNBO
versionId = 2, producerId = 2, streamId = 1, data = KcOQYaw
versionId = 2, producerId = 2, streamId = 2, data = aytedj
versionId = 2, producerId = 2, streamId = 3, data = trpZTl
versionId = 2, producerId = 2, streamId = 4, data = vjyNub
versionId = 2, producerId = 2, streamId = 0, data = yUrETWdt
versionId = 2, producerId = 2, streamId = 1, data = oPuIaF
versionId = 2, producerId = 2, streamId = 2, data = NFwrxmPGD
versionId = 2, producerId = 2, streamId = 3, data = aMiraBzMl
versionId = 2, producerId = 2, streamId = 4, data = lhxkK
versionId = 2, producerId = 2, streamId = 0, data = SvnXEUmQ
versionId = 2, producerId = 2, streamId = 1, data = NfIqPj
versionId = 2, producerId = 2, streamId = 2, data = cdmcQR
versionId = 2, producerId = 2, streamId = 3, data = RegnCP
versionId = 2, producerId = 2, streamId = 4, data = ePNnimQo
versionId = 2, producerId = 2, streamId = 0, data = NrtHHZSHV
versionId = 2, producerId = 2, streamId = 2, data = wXVBM
versionId = 2, producerId = 2, streamId = 3, data = NhuqXwvAq
versionId = 2, producerId = 2, streamId = 4, data = nQXRQS
versionId = 2, producerId = 2, streamId = 0, data = FJLDKmsJ
versionId = 2, producerId = 2, streamId = 3, data = mXeoveCl
versionId = 2, producerId = 2, streamId = 4, data = uuNdNJGMn
versionId = 2, producerId = 2, streamId = 0, data = VgpIT
versionId = 2, producerId = 2, streamId = 3, data = ofRksnOK
versionId = 2, producerId = 2, streamId = 4, data = xQBQzI
versionId = 2, producerId = 2, streamId = 3, data = YsIIVQni
versionId = 2, producerId = 2, streamId = 0, data = pTAIwFjx
